filename, language, JSON, TypeScript, comment, blank, total
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\Caching.ts, TypeScript, 0, 0, 3, 4, 7
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\CreateTime.ts, TypeScript, 0, 2, 0, 2, 4
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\DbClient.ts, TypeScript, 0, 6, 0, 3, 9
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\Month.ts, TypeScript, 0, 5, 0, 2, 7
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\TestModel.ts, TypeScript, 0, 10, 0, 2, 12
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\UserDb.ts, TypeScript, 0, 83, 7, 8, 98
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\DataAccess\calendarDb.ts, TypeScript, 0, 143, 8, 14, 165
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FAuthenticateUser\FAuthenticateUser.ts, TypeScript, 0, 25, 0, 7, 32
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FAuthenticateUser\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FConsentPage\fConsentPage.ts, TypeScript, 0, 20, 0, 5, 25
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FConsentPage\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FDeleteCalendar\fDeleteCalendar.ts, TypeScript, 0, 43, 1, 3, 47
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FDeleteCalendar\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FDeleteEvent\fDeleteEvent.ts, TypeScript, 0, 44, 1, 4, 49
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FDeleteEvent\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetCalendarEvents\fGetCalendarEvents.ts, TypeScript, 0, 17, 0, 6, 23
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetCalendarEvents\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetCalendar\FGetCalendar.ts, TypeScript, 0, 14, 0, 4, 18
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetCalendar\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetToken\fGetToken.ts, TypeScript, 0, 65, 10, 10, 85
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetToken\function.json, JSON, 21, 0, 0, 1, 22
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\FGetUserCalendars\fGetUserCalendars.ts, TypeScript, 0, 37, 0, 4, 41
